Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 13:48:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,103,410,5474,,,[]
1,Fuzzed,Sat Jun 06 14:52:23 CEST 2020,POST,http://staging.itapp.eus/,200,OK,224,578,110,410,5481,,Reflected,[%s%p%x%d]
2,Fuzzed,Sat Jun 06 14:52:23 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,3162,578,108,248,79950,,Reflected,[.1024d]
3,Fuzzed,Sat Jun 06 14:52:26 CEST 2020,POST,http://staging.itapp.eus/,200,OK,249,578,109,410,5480,,Reflected,[%.2049d]
4,Fuzzed,Sat Jun 06 14:52:27 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,110,410,5481,,Reflected,[%p%p%p%p]
5,Fuzzed,Sat Jun 06 14:52:27 CEST 2020,POST,http://staging.itapp.eus/,200,OK,129,578,110,410,5481,,Reflected,[%x%x%x%x]
6,Fuzzed,Sat Jun 06 14:52:27 CEST 2020,POST,http://staging.itapp.eus/,200,OK,132,578,110,410,5481,,Reflected,[%d%d%d%d]
7,Fuzzed,Sat Jun 06 14:52:28 CEST 2020,POST,http://staging.itapp.eus/,200,OK,144,578,110,410,5481,,Reflected,[%s%s%s%s]
8,Fuzzed,Sat Jun 06 14:52:28 CEST 2020,POST,http://staging.itapp.eus/,200,OK,135,578,115,410,5489,,Blocked,[%99999999999s]
9,Fuzzed,Sat Jun 06 14:52:28 CEST 2020,POST,http://staging.itapp.eus/,200,OK,127,578,106,410,5478,,Blocked,[%08x]
10,Fuzzed,Sat Jun 06 14:52:29 CEST 2020,POST,http://staging.itapp.eus/,200,OK,149,578,107,410,5476,,Blocked,[%%20d]
11,Fuzzed,Sat Jun 06 14:52:29 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,107,410,5476,,Blocked,[%%20n]
12,Fuzzed,Sat Jun 06 14:52:30 CEST 2020,POST,http://staging.itapp.eus/,200,OK,129,578,107,410,5476,,Blocked,[%%20x]
13,Fuzzed,Sat Jun 06 14:52:30 CEST 2020,POST,http://staging.itapp.eus/,200,OK,136,578,107,410,5476,,Blocked,[%%20s]
14,Fuzzed,Sat Jun 06 14:52:31 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,122,410,5493,,Reflected,[%s%s%s%s%s%s%s%s%s%s]
15,Fuzzed,Sat Jun 06 14:52:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,128,578,122,410,5493,,Reflected,[%p%p%p%p%p%p%p%p%p%p]
16,Fuzzed,Sat Jun 06 14:52:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,142,578,166,410,5539,,Blocked,[%#0123456x%08x%x%s%p%d%n%o%u%c%h%l%q%j%z%z%t%i%e%g%f%a%c%s%08x%%]
17,Fuzzed,Sat Jun 06 14:52:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,129,578,876,410,6247,,Reflected,[%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf%sasdf]
18,Fuzzed,Sat Jun 06 14:52:34 CEST 2020,POST,http://staging.itapp.eus/,200,OK,278,578,616,410,5987,,Reflected,[%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x]
19,Fuzzed,Sat Jun 06 14:52:34 CEST 2020,POST,http://staging.itapp.eus/,200,OK,135,578,102,410,5464,,Blocked,[]
20,Fuzzed,Sat Jun 06 14:52:35 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6654,578,129,410,5471,,,[Scunthorpe General Hospital]
21,Fuzzed,Sat Jun 06 14:52:42 CEST 2020,POST,http://staging.itapp.eus/,200,OK,7351,578,128,410,5470,,,[Penistone Community Church]
22,Fuzzed,Sat Jun 06 14:52:49 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6516,578,125,410,5435,,,[Lightwater Country Park]
23,Fuzzed,Sat Jun 06 14:52:56 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5882,578,117,410,5459,,,[Jimmy Clitheroe]
24,Fuzzed,Sat Jun 06 14:53:02 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6487,578,117,410,5435,,,[Horniman Museum]
25,Fuzzed,Sat Jun 06 14:53:08 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6087,578,119,410,5461,,Reflected,[shitake mushrooms]
26,Fuzzed,Sat Jun 06 14:53:14 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,1445,578,122,248,79992,,Reflected,[RomansInSussex.co.uk]
27,Fuzzed,Sat Jun 06 14:53:16 CEST 2020,POST,http://staging.itapp.eus/,200,OK,141,578,123,410,5594,,Reflected,[http://www.cum.qc.ca/]
28,Fuzzed,Sat Jun 06 14:53:16 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,1633,578,137,248,80037,,Reflected,"[Craig Cockburn, Software Specialist]"
29,Fuzzed,Sat Jun 06 14:53:18 CEST 2020,POST,http://staging.itapp.eus/,200,OK,7973,578,116,410,5435,,,[Linda Callahan]
30,Fuzzed,Sat Jun 06 14:53:26 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,1768,578,124,248,79999,,Reflected,[Dr. Herman I. Libshitz]
31,Fuzzed,Sat Jun 06 14:53:28 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6621,578,117,410,5459,,Reflected,[magna cum laude]
32,Fuzzed,Sat Jun 06 14:53:35 CEST 2020,POST,http://staging.itapp.eus/,200,OK,7032,578,116,410,5458,,,[Super Bowl XXX]
33,Fuzzed,Sat Jun 06 14:53:42 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6645,578,131,410,5473,,Reflected,[medieval erection of parapets]
34,Fuzzed,Sat Jun 06 14:53:48 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6334,578,110,410,5452,,Reflected,[evaluate]
35,Fuzzed,Sat Jun 06 14:53:55 CEST 2020,POST,http://staging.itapp.eus/,200,OK,8273,578,107,410,5449,,Reflected,[mocha]
36,Fuzzed,Sat Jun 06 14:54:03 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6992,578,112,410,5435,,,[expression]
37,Fuzzed,Sat Jun 06 14:54:10 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6202,578,115,410,5457,,,[Arsenal canal]
38,Fuzzed,Sat Jun 06 14:54:16 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5987,578,109,410,5435,,,[classic]
39,Fuzzed,Sat Jun 06 14:54:22 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5613,578,111,410,5453,,,[Tyson Gay]
40,Fuzzed,Sat Jun 06 14:54:28 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6425,578,115,410,5457,,,[Dick Van Dyke]
41,Fuzzed,Sat Jun 06 14:54:34 CEST 2020,POST,http://staging.itapp.eus/,502,Bad Gateway,2569,578,110,156,332,,,[basement]
42,Fuzzed,Sat Jun 06 14:54:37 CEST 2020,POST,http://staging.itapp.eus/,200,OK,383,578,110,410,5481,,Reflected,[%s%p%x%d]
43,Fuzzed,Sat Jun 06 14:54:37 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,110,410,5481,,Reflected,[%p%p%p%p]
44,Fuzzed,Sat Jun 06 14:54:41 CEST 2020,POST,http://staging.itapp.eus/,200,OK,136,578,110,410,5481,,Reflected,[%x%x%x%x]
45,Fuzzed,Sat Jun 06 14:54:43 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,110,410,5481,,Reflected,[%d%d%d%d]
46,Fuzzed,Sat Jun 06 14:54:44 CEST 2020,POST,http://staging.itapp.eus/,200,OK,129,578,110,410,5481,,Reflected,[%s%s%s%s]
47,Fuzzed,Sat Jun 06 14:54:44 CEST 2020,POST,http://staging.itapp.eus/,200,OK,151,578,115,410,5489,,Blocked,[%99999999999s]
48,Fuzzed,Sat Jun 06 14:54:48 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,106,410,5478,,Blocked,[%08x]
49,Fuzzed,Sat Jun 06 14:54:51 CEST 2020,POST,http://staging.itapp.eus/,200,OK,129,578,106,410,5475,,Blocked,[%20d]
50,Fuzzed,Sat Jun 06 14:54:51 CEST 2020,POST,http://staging.itapp.eus/,200,OK,133,578,106,410,5475,,Blocked,[%20n]
51,Fuzzed,Sat Jun 06 14:54:52 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,106,410,5475,,Blocked,[%20x]
52,Fuzzed,Sat Jun 06 14:54:55 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,106,410,5475,,Blocked,[%20s]
53,Fuzzed,Sat Jun 06 14:54:58 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,211,410,5582,,Reflected,[%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d ]
54,Fuzzed,Sat Jun 06 14:54:59 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,210,410,5581,,Reflected,[%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i]
55,Fuzzed,Sat Jun 06 14:55:00 CEST 2020,POST,http://staging.itapp.eus/,200,OK,133,578,210,410,5581,,Reflected,[%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o]
56,Fuzzed,Sat Jun 06 14:55:03 CEST 2020,POST,http://staging.itapp.eus/,200,OK,140,578,210,410,5581,,Reflected,[%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u]
57,Fuzzed,Sat Jun 06 14:55:07 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,210,410,5581,,Reflected,[%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x]
58,Fuzzed,Sat Jun 06 14:55:08 CEST 2020,POST,http://staging.itapp.eus/,200,OK,128,578,210,410,5581,,Blocked,[%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X]
