Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 16:14:00 CEST 2020,POST,http://staging.itapp.eus/,200,OK,338,578,111,410,5343,,,[]
4,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,535,578,109,410,5342,,,[aconnect]
1,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,541,578,107,410,5341,,,[accept]
2,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,541,578,107,410,5341,,Reflected,[access]
3,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,545,578,108,410,5342,,Reflected,[aclocal]
5,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,584,578,105,410,5342,,,[acpi]
6,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,132,578,115,410,5478,,Reflected,[acpi_available]
9,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,349,578,110,410,5342,,,[addresses]
8,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,388,578,110,410,5341,,,[addr2line]
7,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,408,578,106,410,5342,,,[acpid]
10,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,372,578,107,410,5341,,Reflected,[agetty]
11,Fuzzed,Sat Jun 06 16:28:32 CEST 2020,POST,http://staging.itapp.eus/,200,OK,366,578,108,410,5340,,,[alsactl]
15,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,350,578,106,410,5340,,Reflected,[aplay]
14,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,369,578,108,410,5344,,,[anacron]
13,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,390,578,107,410,5344,,,[amixer]
12,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,431,578,106,410,5344,,,[amidi]
16,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,330,578,110,410,5344,,Reflected,[aplaymidi]
21,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,136,578,103,410,5466,,Reflected,[ar]
19,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,327,578,108,410,5342,,Reflected,[apropos]
18,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,350,578,105,410,5339,,,[apmd]
20,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,344,578,104,410,5339,,,[apt]
17,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,364,578,104,410,5339,,,[apm]
26,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,144,578,103,410,5466,,Reflected,[as]
22,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,337,578,105,410,5346,,,[arch]
23,Fuzzed,Sat Jun 06 16:28:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,318,578,108,410,5337,,,[arecord]
