Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 13:22:11 CEST 2020,POST,http://staging.itapp.eus/,200,OK,7114,578,135,410,5477,,,[]
1,Fuzzed,Sat Jun 06 13:24:45 CEST 2020,POST,http://staging.itapp.eus/,200,OK,154,578,110,410,5481,,Reflected,[%s%p%x%d]
2,Fuzzed,Sat Jun 06 13:24:45 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,1591,578,108,248,79951,,Reflected,[.1024d]
3,Fuzzed,Sat Jun 06 13:24:46 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,109,410,5480,,Reflected,[%.2049d]
4,Fuzzed,Sat Jun 06 13:24:47 CEST 2020,POST,http://staging.itapp.eus/,200,OK,147,578,110,410,5481,,Reflected,[%p%p%p%p]
5,Fuzzed,Sat Jun 06 13:24:47 CEST 2020,POST,http://staging.itapp.eus/,200,OK,137,578,110,410,5481,,Reflected,[%x%x%x%x]
6,Fuzzed,Sat Jun 06 13:24:47 CEST 2020,POST,http://staging.itapp.eus/,200,OK,175,578,110,410,5481,,Reflected,[%d%d%d%d]
7,Fuzzed,Sat Jun 06 13:24:48 CEST 2020,POST,http://staging.itapp.eus/,200,OK,138,578,110,410,5481,,Reflected,[%s%s%s%s]
8,Fuzzed,Sat Jun 06 13:24:48 CEST 2020,POST,http://staging.itapp.eus/,200,OK,142,578,115,410,5489,,Blocked,[%99999999999s]
9,Fuzzed,Sat Jun 06 13:24:48 CEST 2020,POST,http://staging.itapp.eus/,200,OK,204,578,106,410,5478,,Blocked,[%08x]
10,Fuzzed,Sat Jun 06 13:24:49 CEST 2020,POST,http://staging.itapp.eus/,200,OK,136,578,107,410,5476,,Blocked,[%%20d]
11,Fuzzed,Sat Jun 06 13:24:50 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,107,410,5476,,Blocked,[%%20n]
12,Fuzzed,Sat Jun 06 13:24:50 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,107,410,5476,,Blocked,[%%20x]
13,Fuzzed,Sat Jun 06 13:24:51 CEST 2020,POST,http://staging.itapp.eus/,200,OK,141,578,107,410,5476,,Blocked,[%%20s]
14,Fuzzed,Sat Jun 06 13:24:52 CEST 2020,POST,http://staging.itapp.eus/,200,OK,132,578,122,410,5493,,Reflected,[%s%s%s%s%s%s%s%s%s%s]
15,Fuzzed,Sat Jun 06 13:24:53 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,122,410,5493,,Reflected,[%p%p%p%p%p%p%p%p%p%p]
16,Fuzzed,Sat Jun 06 13:24:53 CEST 2020,POST,http://staging.itapp.eus/,200,OK,143,578,166,410,5539,,Blocked,[%#0123456x%08x%x%s%p%d%n%o%u%c%h%l%q%j%z%z%t%i%e%g%f%a%c%s%08x%%]
