Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 16:31:11 CEST 2020,POST,http://staging.itapp.eus/,200,OK,193,578,114,410,8688,Low,,[]
5,Fuzzed,Sat Jun 06 16:48:19 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,334,578,106,249,112657,,Reflected,[-1]
1,Fuzzed,Sat Jun 06 16:48:19 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,353,578,106,249,112658,,Reflected,[-1]
2,Fuzzed,Sat Jun 06 16:48:20 CEST 2020,POST,http://staging.itapp.eus/,200,OK,166,578,109,410,5335,,,[00000]
4,Fuzzed,Sat Jun 06 16:48:19 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,452,578,104,249,107463,,,[]
6,Fuzzed,Sat Jun 06 16:48:20 CEST 2020,POST,http://staging.itapp.eus/,200,OK,174,578,105,410,5335,,Reflected,[0]
3,Fuzzed,Sat Jun 06 16:48:19 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,364,578,105,249,112625,,Reflected,[F]
9,Fuzzed,Sat Jun 06 16:48:20 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,348,578,114,249,113083,,Reflected,[0x3fffffff]
8,Fuzzed,Sat Jun 06 16:48:20 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,354,578,110,249,112865,,Reflected,[0x1000]
7,Fuzzed,Sat Jun 06 16:48:20 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,339,578,109,249,112831,,Reflected,[0x100]
10,Fuzzed,Sat Jun 06 16:48:21 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,339,578,114,249,113083,,Reflected,[0x7ffffffe]
11,Fuzzed,Sat Jun 06 16:48:20 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,380,578,114,249,113085,,Reflected,[0x7fffffff]
12,Fuzzed,Sat Jun 06 16:48:21 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,363,578,114,249,113082,,Reflected,[0x80000000]
13,Fuzzed,Sat Jun 06 16:48:21 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,339,578,114,249,113082,,Reflected,[0xfffffffe]
14,Fuzzed,Sat Jun 06 16:48:21 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,373,578,114,249,113084,,Reflected,[0xffffffff]
15,Fuzzed,Sat Jun 06 16:48:21 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,332,578,111,249,112959,,Reflected,[0x10000]
17,Fuzzed,Sat Jun 06 16:48:22 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,349,578,105,249,112624,,Reflected,[a]
19,Fuzzed,Sat Jun 06 16:48:22 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,332,578,109,249,112831,,Reflected,[aaaaa]
16,Fuzzed,Sat Jun 06 16:48:21 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,371,578,112,249,112991,,Reflected,[0x100000]
20,Fuzzed,Sat Jun 06 16:48:22 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,336,578,113,249,113051,,Reflected,[aaaaaaaaa]
18,Fuzzed,Sat Jun 06 16:48:22 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,407,578,107,249,112687,,Reflected,[aaa]
21,Fuzzed,Sat Jun 06 16:48:22 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,573,578,121,249,113371,,Reflected,[aaaaaaaaaaaaaaaaa]
23,Fuzzed,Sat Jun 06 16:48:23 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,385,578,169,249,115239,,Reflected,[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
22,Fuzzed,Sat Jun 06 16:48:23 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,652,578,137,249,114045,,Reflected,[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
24,Fuzzed,Sat Jun 06 16:48:23 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,2259,578,233,249,117387,,Reflected,[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
25,Fuzzed,Sat Jun 06 16:48:23 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,1875,578,361,249,121344,,Reflected,[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
