Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 15:56:36 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6798,578,105,410,5447,Low,,[]
1,Fuzzed,Sat Jun 06 15:59:13 CEST 2020,POST,http://staging.itapp.eus/,200,OK,135,578,102,410,5464,,,[]
2,Fuzzed,Sat Jun 06 15:59:14 CEST 2020,POST,http://staging.itapp.eus/,200,OK,133,578,102,410,5464,,,[]
3,Fuzzed,Sat Jun 06 15:59:15 CEST 2020,POST,http://staging.itapp.eus/,200,OK,139,578,102,410,5464,,,[]
4,Fuzzed,Sat Jun 06 15:59:16 CEST 2020,POST,http://staging.itapp.eus/,200,OK,140,578,102,410,5464,,,[]
5,Fuzzed,Sat Jun 06 15:59:19 CEST 2020,POST,http://staging.itapp.eus/,200,OK,132,578,102,410,5464,,,[]
6,Fuzzed,Sat Jun 06 15:59:21 CEST 2020,POST,http://staging.itapp.eus/,200,OK,136,578,102,410,5464,,,[]
7,Fuzzed,Sat Jun 06 15:59:23 CEST 2020,POST,http://staging.itapp.eus/,200,OK,132,578,102,410,5464,,,[]
8,Fuzzed,Sat Jun 06 15:59:25 CEST 2020,POST,http://staging.itapp.eus/,200,OK,139,578,102,410,5464,,,[]
9,Fuzzed,Sat Jun 06 15:59:28 CEST 2020,POST,http://staging.itapp.eus/,200,OK,136,578,102,410,5464,,,[]
10,Fuzzed,Sat Jun 06 15:59:31 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,102,410,5464,,,[]
11,Fuzzed,Sat Jun 06 15:59:34 CEST 2020,POST,http://staging.itapp.eus/,200,OK,136,578,102,410,5464,,,[]
12,Fuzzed,Sat Jun 06 15:59:37 CEST 2020,POST,http://staging.itapp.eus/,200,OK,143,578,102,410,5464,,,[]
13,Fuzzed,Sat Jun 06 15:59:41 CEST 2020,POST,http://staging.itapp.eus/,200,OK,140,578,102,410,5464,,,[]
14,Fuzzed,Sat Jun 06 15:59:45 CEST 2020,POST,http://staging.itapp.eus/,200,OK,138,578,102,410,5464,,,[]
15,Fuzzed,Sat Jun 06 15:59:49 CEST 2020,POST,http://staging.itapp.eus/,200,OK,140,578,102,410,5464,,,[]
16,Fuzzed,Sat Jun 06 15:59:53 CEST 2020,POST,http://staging.itapp.eus/,200,OK,138,578,102,410,5464,,,[]
17,Fuzzed,Sat Jun 06 15:59:58 CEST 2020,POST,http://staging.itapp.eus/,200,OK,135,578,102,410,5464,,,[]
18,Fuzzed,Sat Jun 06 16:00:03 CEST 2020,POST,http://staging.itapp.eus/,200,OK,133,578,102,410,5464,,,[]
19,Fuzzed,Sat Jun 06 16:00:08 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,102,410,5464,,,[]
20,Fuzzed,Sat Jun 06 16:00:13 CEST 2020,POST,http://staging.itapp.eus/,200,OK,142,578,102,410,5464,,,[]
21,Fuzzed,Sat Jun 06 16:00:20 CEST 2020,POST,http://staging.itapp.eus/,200,OK,139,578,102,410,5464,,,[]
22,Fuzzed,Sat Jun 06 16:00:26 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,102,410,5464,,,[]
