Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 16:01:51 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,112,410,5483,,,[]
1,Fuzzed,Sat Jun 06 16:02:51 CEST 2020,POST,http://staging.itapp.eus/,200,OK,146,578,104,410,5475,,Reflected,[-1]
2,Fuzzed,Sat Jun 06 16:02:52 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,103,410,5474,,Reflected,[0]
3,Fuzzed,Sat Jun 06 16:02:53 CEST 2020,POST,http://staging.itapp.eus/,200,OK,132,578,107,410,5478,,Reflected,[0x100]
4,Fuzzed,Sat Jun 06 16:02:54 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,108,410,5479,,Reflected,[0x1000]
5,Fuzzed,Sat Jun 06 16:02:57 CEST 2020,POST,http://staging.itapp.eus/,200,OK,148,578,112,410,5483,,Reflected,[0x3fffffff]
6,Fuzzed,Sat Jun 06 16:02:59 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,112,410,5483,,Reflected,[0x7ffffffe]
7,Fuzzed,Sat Jun 06 16:03:01 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,112,410,5483,,Reflected,[0x7fffffff]
8,Fuzzed,Sat Jun 06 16:03:03 CEST 2020,POST,http://staging.itapp.eus/,200,OK,134,578,112,410,5483,,Reflected,[0x80000000]
9,Fuzzed,Sat Jun 06 16:03:06 CEST 2020,POST,http://staging.itapp.eus/,200,OK,142,578,112,410,5483,,Reflected,[0xfffffffe]
10,Fuzzed,Sat Jun 06 16:03:09 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,112,410,5483,,Reflected,[0xffffffff]
11,Fuzzed,Sat Jun 06 16:03:12 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,109,410,5480,,Reflected,[0x10000]
12,Fuzzed,Sat Jun 06 16:03:15 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,110,410,5481,,Reflected,[0x100000]
