Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jun 06 15:03:47 CEST 2020,POST,http://staging.itapp.eus/,500,Internal Server Error,1378,578,108,248,79952,,,[]
1,Fuzzed,Sat Jun 06 15:41:44 CEST 2020,POST,http://staging.itapp.eus/,200,OK,142,578,106,410,5477,,Reflected,[aaa0]
2,Fuzzed,Sat Jun 06 15:41:45 CEST 2020,POST,http://staging.itapp.eus/,200,OK,132,578,106,410,5477,,Reflected,[aaa1]
3,Fuzzed,Sat Jun 06 15:41:46 CEST 2020,POST,http://staging.itapp.eus/,200,OK,153,578,106,410,5477,,Reflected,[aaa2]
4,Fuzzed,Sat Jun 06 15:41:47 CEST 2020,POST,http://staging.itapp.eus/,200,OK,129,578,106,410,5477,,Reflected,[aaa3]
5,Fuzzed,Sat Jun 06 15:41:49 CEST 2020,POST,http://staging.itapp.eus/,200,OK,127,578,106,410,5477,,Reflected,[aaa4]
6,Fuzzed,Sat Jun 06 15:41:51 CEST 2020,POST,http://staging.itapp.eus/,200,OK,130,578,106,410,5477,,Reflected,[aaa5]
7,Fuzzed,Sat Jun 06 15:41:53 CEST 2020,POST,http://staging.itapp.eus/,200,OK,128,578,106,410,5477,,Reflected,[aaa6]
8,Fuzzed,Sat Jun 06 15:41:55 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,106,410,5477,,Reflected,[aaa7]
9,Fuzzed,Sat Jun 06 15:41:58 CEST 2020,POST,http://staging.itapp.eus/,200,OK,150,578,106,410,5477,,Reflected,[aaa8]
10,Fuzzed,Sat Jun 06 15:42:01 CEST 2020,POST,http://staging.itapp.eus/,200,OK,131,578,106,410,5477,,Reflected,[aaa9]
11,Fuzzed,Sat Jun 06 15:42:04 CEST 2020,POST,http://staging.itapp.eus/,200,OK,8807,578,106,410,5448,,,[aaaA]
12,Fuzzed,Sat Jun 06 15:42:13 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5939,578,106,410,5435,,,[aaaB]
13,Fuzzed,Sat Jun 06 15:42:19 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5469,578,106,410,5435,,,[aaaC]
14,Fuzzed,Sat Jun 06 15:42:24 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5539,578,106,410,5448,,,[aaaD]
15,Fuzzed,Sat Jun 06 15:42:30 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5629,578,106,410,5448,,,[aaaE]
16,Fuzzed,Sat Jun 06 15:42:35 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5238,578,106,410,5448,,,[aaaF]
17,Fuzzed,Sat Jun 06 15:42:41 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5312,578,106,410,5448,,,[aaaG]
18,Fuzzed,Sat Jun 06 15:42:48 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5310,578,106,410,5448,,,[aaaH]
19,Fuzzed,Sat Jun 06 15:42:54 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5267,578,106,410,5448,,,[aaaI]
20,Fuzzed,Sat Jun 06 15:43:01 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5639,578,106,410,5435,,,[aaaJ]
21,Fuzzed,Sat Jun 06 15:43:08 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5372,578,106,410,5448,,,[aaaK]
22,Fuzzed,Sat Jun 06 15:43:15 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5170,578,106,410,5435,,,[aaaL]
23,Fuzzed,Sat Jun 06 15:43:23 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5742,578,106,410,5448,,,[aaaM]
24,Fuzzed,Sat Jun 06 15:43:30 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5361,578,106,410,5448,,,[aaaN]
25,Fuzzed,Sat Jun 06 15:43:38 CEST 2020,POST,http://staging.itapp.eus/,502,Bad Gateway,2744,578,106,156,332,,,[aaaO]
26,Fuzzed,Sat Jun 06 15:43:46 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6928,578,106,410,5448,,,[aaaP]
27,Fuzzed,Sat Jun 06 15:43:55 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6758,578,106,410,5435,,,[aaaQ]
28,Fuzzed,Sat Jun 06 15:44:04 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5558,578,106,410,5448,,,[aaaR]
29,Fuzzed,Sat Jun 06 15:44:10 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6515,578,106,410,5448,,,[aaaS]
30,Fuzzed,Sat Jun 06 15:44:23 CEST 2020,POST,http://staging.itapp.eus/,200,OK,7434,578,106,410,5448,,,[aaaT]
31,Fuzzed,Sat Jun 06 15:44:33 CEST 2020,POST,http://staging.itapp.eus/,200,OK,6068,578,106,410,5448,,,[aaaU]
32,Fuzzed,Sat Jun 06 15:44:41 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5304,578,106,410,5448,,,[aaaV]
33,Fuzzed,Sat Jun 06 15:44:49 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5788,578,106,410,5435,,,[aaaW]
34,Fuzzed,Sat Jun 06 15:45:05 CEST 2020,POST,http://staging.itapp.eus/,200,OK,13440,578,106,410,5435,,,[aaaX]
35,Fuzzed,Sat Jun 06 15:45:18 CEST 2020,POST,http://staging.itapp.eus/,200,OK,8087,578,106,410,5435,,,[aaaY]
36,Fuzzed,Sat Jun 06 15:45:26 CEST 2020,POST,http://staging.itapp.eus/,200,OK,7525,578,106,410,5448,,,[aaaZ]
37,Fuzzed,Sat Jun 06 15:45:34 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4961,578,106,410,5448,,Reflected,[aaaa]
38,Fuzzed,Sat Jun 06 15:45:56 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5055,578,106,410,5435,,,[aaab]
39,Fuzzed,Sat Jun 06 15:46:05 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4936,578,106,410,5448,,Reflected,[aaac]
40,Fuzzed,Sat Jun 06 15:46:14 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4970,578,106,410,5435,,,[aaad]
41,Fuzzed,Sat Jun 06 15:46:20 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4932,578,106,410,5435,,,[aaae]
42,Fuzzed,Sat Jun 06 15:46:43 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4989,578,106,410,5448,,Reflected,[aaaf]
43,Fuzzed,Sat Jun 06 15:46:53 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4701,578,106,410,5435,,,[aaag]
44,Fuzzed,Sat Jun 06 15:47:03 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5243,578,106,410,5435,,,[aaah]
45,Fuzzed,Sat Jun 06 15:47:10 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4823,578,106,410,5448,,Reflected,[aaai]
46,Fuzzed,Sat Jun 06 15:47:34 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5076,578,106,410,5448,,Reflected,[aaaj]
47,Fuzzed,Sat Jun 06 15:47:45 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4721,578,106,410,5448,,Reflected,[aaak]
48,Fuzzed,Sat Jun 06 15:47:56 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5153,578,106,410,5435,,,[aaal]
49,Fuzzed,Sat Jun 06 15:48:04 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4852,578,106,410,5448,,Reflected,[aaam]
50,Fuzzed,Sat Jun 06 15:48:29 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4849,578,106,410,5448,,Reflected,[aaan]
51,Fuzzed,Sat Jun 06 15:48:41 CEST 2020,POST,http://staging.itapp.eus/,200,OK,5132,578,106,410,5448,,Reflected,[aaao]
52,Fuzzed,Sat Jun 06 15:48:53 CEST 2020,POST,http://staging.itapp.eus/,200,OK,4803,578,106,410,5435,,,[aaap]
